Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Category,Sub-Category
CA-232183,2024-03-21,2025-05-06,Same Day,CUST-5815,Catherine Lewis,Consumer,Central,Technology,Phones
CA-505088,2023-08-23,2025-05-02,Same Day,CUST-6642,Mr. Matthew Maynard Jr.,Consumer,Central,Furniture,Furnishings
CA-660300,2024-09-29,2025-04-17,Standard Class,CUST-2011,Briana Bean,Home Office,Central,Technology,Copiers
CA-533867,2023-11-18,2025-04-22,Standard Class,CUST-1817,Dean Lewis,Consumer,South,Office Supplies,Binders
CA-418531,2023-09-09,2025-05-07,First Class,CUST-3156,Barbara Flores,Consumer,East,Office Supplies,Paper
CA-235205,2024-08-20,2025-04-24,Second Class,CUST-4675,Ronald Scott,Corporate,Central,Furniture,Tables
CA-828112,2024-01-11,2025-05-04,First Class,CUST-8014,Brandy Wright,Home Office,South,Furniture,Tables
CA-399262,2024-01-26,2025-04-15,First Class,CUST-7506,Dr. Lance Reyes MD,Consumer,East,Technology,Phones
CA-513536,2024-07-14,2025-04-10,Second Class,CUST-1226,Jack Andrade,Corporate,West,Technology,Phones
CA-223336,2023-09-02,2025-04-16,First Class,CUST-6566,Cynthia Price,Consumer,Central,Furniture,Tables
CA-854691,2024-04-23,2025-05-06,Standard Class,CUST-1770,Charles King,Consumer,South,Office Supplies,Storage
CA-183590,2024-10-24,2025-04-23,Standard Class,CUST-1982,Janet Lewis,Home Office,Central,Technology,Machines
CA-306185,2025-02-21,2025-05-08,Second Class,CUST-6377,Dawn Bond,Home Office,Central,Furniture,Chairs
CA-985714,2024-08-24,2025-04-19,Second Class,CUST-2405,Bradley Chavez,Corporate,Central,Office Supplies,Storage
CA-422665,2023-11-24,2025-04-17,Second Class,CUST-8062,Christopher Fritz,Corporate,East,Furniture,Chairs
CA-645271,2024-11-16,2025-05-06,Second Class,CUST-8397,James Ballard,Home Office,West,Technology,Machines
CA-510050,2024-12-09,2025-04-16,Standard Class,CUST-3969,Jeffrey Coleman,Home Office,East,Furniture,Chairs
CA-233748,2023-06-10,2025-04-10,First Class,CUST-5791,Kenneth Olson,Corporate,East,Furniture,Chairs
CA-964406,2023-12-25,2025-04-13,Second Class,CUST-2274,Carl Green,Corporate,South,Technology,Copiers
CA-326949,2023-10-16,2025-05-02,Standard Class,CUST-2126,Crystal Brewer,Corporate,West,Office Supplies,Art
CA-548640,2023-04-30,2025-05-04,Second Class,CUST-2638,Christine Hubbard,Consumer,Central,Technology,Copiers
CA-299643,2023-07-03,2025-04-17,Second Class,CUST-5469,Daniel Peterson,Home Office,Central,Technology,Machines
CA-674548,2023-07-12,2025-05-08,Standard Class,CUST-9867,Kimberly Aguilar,Home Office,East,Technology,Machines
CA-915933,2024-05-18,2025-05-05,First Class,CUST-6212,Thomas Carr,Corporate,South,Technology,Computers
CA-979446,2023-12-16,2025-05-04,First Class,CUST-7729,Daniel Green,Corporate,East,Furniture,Tables
CA-582916,2023-07-05,2025-04-09,Same Day,CUST-8759,Allison Hardy,Consumer,Central,Technology,Copiers
CA-355710,2023-04-09,2025-04-27,Second Class,CUST-6126,Charles Reyes,Corporate,Central,Office Supplies,Binders
CA-863454,2023-04-18,2025-04-13,Second Class,CUST-3071,Sarah Martin,Consumer,Central,Office Supplies,Labels
CA-644764,2024-07-24,2025-04-20,Second Class,CUST-2442,Angela Frey,Corporate,East,Office Supplies,Binders
CA-977240,2025-02-02,2025-05-08,Second Class,CUST-3169,Amanda Kirk,Corporate,West,Furniture,Furnishings
CA-701676,2023-07-11,2025-05-02,Same Day,CUST-1866,William Griffith,Corporate,Central,Technology,Copiers
CA-504391,2024-12-21,2025-04-11,Second Class,CUST-9140,Rhonda Collins,Consumer,Central,Furniture,Furnishings
CA-723721,2024-02-06,2025-05-08,Standard Class,CUST-4605,William Burns,Corporate,West,Technology,Copiers
CA-577661,2024-10-21,2025-04-24,Second Class,CUST-5406,Zoe Soto,Consumer,Central,Technology,Phones
CA-729267,2023-10-15,2025-04-12,First Class,CUST-4043,Victoria Patel,Corporate,Central,Office Supplies,Binders
CA-393246,2023-08-04,2025-05-07,Same Day,CUST-9126,Christian Brewer,Home Office,West,Technology,Copiers
CA-555010,2023-08-20,2025-04-28,Second Class,CUST-1244,Darren Warren,Consumer,Central,Office Supplies,Storage
CA-529318,2023-06-20,2025-04-14,Same Day,CUST-8701,Dr. Ashley Torres,Home Office,Central,Office Supplies,Labels
CA-439054,2025-01-22,2025-04-17,Standard Class,CUST-5706,William Dalton,Consumer,South,Furniture,Tables
CA-939383,2023-05-01,2025-04-25,Second Class,CUST-5502,Brian Martin,Corporate,East,Furniture,Tables
CA-298463,2025-03-28,2025-04-10,First Class,CUST-8234,Katherine Sherman,Consumer,Central,Office Supplies,Paper
CA-453968,2023-12-06,2025-04-21,Same Day,CUST-3874,Bruce Ruiz,Corporate,East,Technology,Copiers
CA-310797,2024-03-31,2025-04-19,Same Day,CUST-1993,Ivan Martinez,Corporate,Central,Technology,Copiers
CA-628465,2024-05-15,2025-04-14,Standard Class,CUST-1434,Melissa Marquez,Consumer,South,Furniture,Tables
CA-139588,2023-11-02,2025-04-26,Standard Class,CUST-4537,Pamela Roberts,Home Office,East,Furniture,Chairs
CA-908429,2023-07-11,2025-04-23,First Class,CUST-6004,Adrian Rodriguez,Corporate,West,Furniture,Furnishings
CA-376199,2024-10-09,2025-04-18,Second Class,CUST-8353,Lee Alexander,Home Office,South,Technology,Phones
CA-669208,2024-09-03,2025-05-07,First Class,CUST-1619,Sarah Baker,Corporate,West,Technology,Copiers
CA-990789,2024-10-29,2025-04-16,Standard Class,CUST-4939,James Johnson,Corporate,East,Furniture,Furnishings
CA-524549,2024-07-25,2025-04-23,First Class,CUST-4746,Stephanie Oliver,Corporate,Central,Furniture,Tables
CA-695986,2023-06-21,2025-04-17,Same Day,CUST-7478,Samantha Thompson,Home Office,East,Office Supplies,Paper
CA-908779,2025-01-11,2025-04-29,Same Day,CUST-5130,Randall Wilson,Home Office,West,Office Supplies,Storage
CA-971925,2023-10-09,2025-04-20,Standard Class,CUST-2877,Scott Bray,Home Office,East,Technology,Copiers
CA-943822,2024-10-05,2025-04-14,First Class,CUST-4640,Juan Foster,Home Office,East,Technology,Accessories
CA-681765,2024-12-09,2025-05-06,First Class,CUST-5878,James Tyler,Corporate,East,Technology,Computers
CA-394931,2024-01-05,2025-04-21,Same Day,CUST-4692,Jennifer Mitchell,Corporate,West,Technology,Phones
CA-400835,2024-05-22,2025-04-29,Same Day,CUST-8346,Richard Griffin,Corporate,South,Office Supplies,Storage
CA-254326,2024-11-17,2025-04-21,First Class,CUST-3945,Mary Marshall,Corporate,East,Furniture,Furnishings
CA-169554,2024-10-24,2025-04-23,Second Class,CUST-1770,Crystal Mckinney,Corporate,Central,Furniture,Chairs
CA-214405,2024-09-19,2025-05-01,Same Day,CUST-3264,Danielle Green,Corporate,Central,Office Supplies,Storage
CA-966771,2025-03-27,2025-05-02,First Class,CUST-2542,Gabriel West,Corporate,East,Technology,Copiers
CA-200343,2024-09-11,2025-04-23,Second Class,CUST-8416,Jessica Thomas,Corporate,East,Office Supplies,Storage
CA-629067,2024-08-17,2025-04-21,Second Class,CUST-8070,Justin Irwin,Home Office,Central,Furniture,Chairs
CA-774610,2025-03-11,2025-04-24,Second Class,CUST-3900,Dennis Black,Home Office,West,Technology,Accessories
CA-985216,2023-11-22,2025-04-21,Second Class,CUST-3439,Kevin Harrell,Home Office,East,Technology,Copiers
CA-177784,2023-11-20,2025-05-06,Standard Class,CUST-9381,Angela Salazar,Consumer,East,Technology,Accessories
CA-281277,2024-07-01,2025-04-13,Same Day,CUST-9440,Ashley Clark,Consumer,East,Office Supplies,Art
CA-285619,2023-10-29,2025-04-21,Second Class,CUST-9642,Justin Lee,Consumer,South,Furniture,Chairs
CA-811122,2024-06-30,2025-05-06,Second Class,CUST-5899,Kristen Johnson,Corporate,East,Technology,Phones
CA-695234,2024-05-04,2025-04-22,Second Class,CUST-6032,Cindy Wilson,Corporate,South,Furniture,Furnishings
CA-516590,2023-11-02,2025-04-11,Second Class,CUST-9224,Sheila Vasquez,Corporate,West,Furniture,Bookcases
CA-974228,2024-01-21,2025-04-27,Same Day,CUST-2002,Gary Long,Consumer,South,Furniture,Bookcases
CA-869650,2024-01-14,2025-04-16,Standard Class,CUST-6782,Heather Ross,Home Office,South,Office Supplies,Art
CA-915004,2024-09-10,2025-04-30,Second Class,CUST-1077,Matthew Yoder,Home Office,West,Technology,Phones
CA-160819,2023-05-21,2025-04-22,First Class,CUST-7055,Michelle Clark,Corporate,Central,Office Supplies,Art
CA-225324,2023-08-17,2025-04-16,Standard Class,CUST-5947,David Wagner,Consumer,East,Technology,Machines
CA-520555,2023-08-06,2025-04-14,Standard Class,CUST-8234,Justin Harris,Consumer,West,Technology,Machines
CA-796697,2023-04-10,2025-04-27,Second Class,CUST-6587,Darin Mcknight,Home Office,West,Office Supplies,Labels
CA-677561,2023-07-07,2025-04-28,Same Day,CUST-2130,Michael Shea,Home Office,East,Furniture,Bookcases
CA-583524,2025-03-18,2025-04-23,Same Day,CUST-3543,Stacey Matthews,Corporate,West,Technology,Machines
CA-903423,2023-08-30,2025-04-29,Standard Class,CUST-6352,Christopher Robertson,Home Office,South,Office Supplies,Storage
CA-820101,2024-03-21,2025-04-24,Second Class,CUST-2560,Robin Mullins,Home Office,East,Furniture,Bookcases
CA-902982,2023-08-04,2025-04-30,Second Class,CUST-3106,Ryan Reed,Home Office,West,Technology,Accessories
CA-644747,2023-08-31,2025-04-19,Second Class,CUST-6264,Alicia Scott,Consumer,Central,Technology,Phones
CA-939164,2024-12-22,2025-04-25,First Class,CUST-7854,Nancy Terrell,Home Office,West,Technology,Computers
CA-241122,2023-09-28,2025-04-26,Standard Class,CUST-7722,Sandra Reynolds,Corporate,South,Furniture,Chairs
CA-187081,2024-11-06,2025-05-03,Same Day,CUST-2106,Alexander Collins,Consumer,West,Technology,Machines
CA-370058,2023-07-29,2025-04-09,Second Class,CUST-5633,Robin Wood,Consumer,Central,Furniture,Furnishings
CA-119300,2023-10-21,2025-05-02,Second Class,CUST-6439,Richard Thompson,Home Office,South,Technology,Copiers
CA-813048,2024-03-03,2025-04-25,Second Class,CUST-6249,Rebekah Mitchell,Corporate,East,Office Supplies,Binders
CA-542018,2024-04-02,2025-04-15,Second Class,CUST-5735,Richard Jones,Consumer,West,Furniture,Furnishings
CA-482361,2024-04-08,2025-04-30,First Class,CUST-4174,Mark Hickman,Corporate,East,Technology,Computers
CA-736938,2024-08-27,2025-05-03,Standard Class,CUST-5108,Alexander Stafford,Home Office,South,Technology,Machines
CA-669350,2023-08-30,2025-04-15,Standard Class,CUST-3636,Gordon Franklin,Consumer,East,Technology,Copiers
CA-200780,2024-10-18,2025-04-28,Standard Class,CUST-9072,Donald Gonzales,Consumer,West,Office Supplies,Binders
CA-731262,2023-10-02,2025-05-03,Second Class,CUST-2365,Christopher Moran,Home Office,East,Office Supplies,Labels
CA-349578,2023-04-18,2025-04-30,Standard Class,CUST-3630,Lucas Riggs,Home Office,South,Technology,Accessories
CA-238141,2024-12-16,2025-04-26,Same Day,CUST-6778,Alexis Johns,Consumer,Central,Furniture,Bookcases
CA-759102,2025-01-02,2025-04-14,Second Class,CUST-5365,Andrea Nielsen,Home Office,East,Technology,Copiers
CA-652330,2023-04-17,2025-05-05,Standard Class,CUST-7528,Samantha Brown,Home Office,Central,Office Supplies,Art
CA-810484,2025-01-12,2025-04-23,First Class,CUST-6891,Katelyn Middleton,Corporate,Central,Technology,Computers
CA-700839,2024-02-06,2025-05-06,Standard Class,CUST-6442,Timothy Summers,Corporate,East,Office Supplies,Art
CA-602783,2023-06-15,2025-04-28,Same Day,CUST-7043,Charles Scott,Corporate,Central,Office Supplies,Paper
CA-663906,2024-10-23,2025-05-04,First Class,CUST-7127,Christina Davis,Home Office,Central,Office Supplies,Labels
CA-610368,2025-02-23,2025-04-27,Same Day,CUST-4076,Eric Hernandez,Corporate,East,Office Supplies,Labels
CA-466940,2024-03-21,2025-04-10,Standard Class,CUST-5430,Richard Kelley,Home Office,Central,Technology,Copiers
CA-910149,2023-08-05,2025-04-14,First Class,CUST-4036,Cathy Green,Home Office,Central,Furniture,Tables
CA-207012,2024-06-21,2025-04-14,Second Class,CUST-4888,Drew Thomas,Corporate,West,Furniture,Bookcases
CA-644426,2025-04-05,2025-04-16,Same Day,CUST-9419,Jeffrey Jackson,Corporate,Central,Office Supplies,Storage
CA-403271,2023-08-27,2025-04-26,Standard Class,CUST-1325,Christopher Dawson,Corporate,Central,Office Supplies,Labels
CA-361066,2023-08-19,2025-04-22,First Class,CUST-7060,Michael Sexton,Consumer,East,Technology,Computers
CA-780533,2024-05-26,2025-04-23,Same Day,CUST-5757,Jamie Bender,Home Office,West,Office Supplies,Binders
CA-125664,2023-11-17,2025-04-22,Second Class,CUST-6508,Mary Hamilton,Corporate,South,Furniture,Tables
CA-239293,2024-12-05,2025-05-02,Standard Class,CUST-1100,Kathleen Lambert,Consumer,South,Technology,Phones
CA-915897,2024-01-30,2025-05-08,Same Day,CUST-1139,Joseph Clark,Corporate,Central,Furniture,Bookcases
CA-702418,2023-08-11,2025-04-28,Standard Class,CUST-3280,Kevin Jenkins,Corporate,Central,Office Supplies,Paper
CA-100868,2025-01-30,2025-04-17,First Class,CUST-9943,Travis Carr,Home Office,East,Furniture,Chairs
CA-397019,2024-03-04,2025-04-12,First Class,CUST-7763,Linda Hays,Consumer,West,Technology,Computers
CA-905410,2024-04-01,2025-04-09,First Class,CUST-6493,David Rodriguez,Home Office,Central,Technology,Phones
CA-179897,2023-08-02,2025-05-02,Second Class,CUST-4396,Heather Reyes,Consumer,Central,Furniture,Bookcases
CA-383215,2024-02-08,2025-04-22,Standard Class,CUST-9054,Thomas Conley,Corporate,South,Office Supplies,Labels
CA-818456,2025-03-16,2025-05-08,Standard Class,CUST-5450,Steven Hughes DVM,Home Office,South,Office Supplies,Paper
CA-598386,2025-02-02,2025-05-08,Second Class,CUST-6954,Paul Potts,Consumer,South,Technology,Machines
CA-458039,2024-02-15,2025-04-21,Second Class,CUST-5697,Jay Cook,Corporate,Central,Office Supplies,Labels
CA-837915,2024-06-26,2025-04-19,Same Day,CUST-5589,Veronica Ray,Home Office,Central,Technology,Machines
CA-865012,2024-02-27,2025-05-05,First Class,CUST-3169,Nicole Bird,Corporate,East,Office Supplies,Labels
CA-888611,2023-07-08,2025-04-21,First Class,CUST-5963,Gary Brown,Home Office,Central,Office Supplies,Labels
CA-573428,2024-11-22,2025-04-20,Second Class,CUST-7212,Henry Day,Home Office,West,Office Supplies,Storage
CA-215475,2023-11-25,2025-04-21,Same Day,CUST-7162,Stephen Garcia,Consumer,South,Technology,Machines
CA-142845,2024-09-12,2025-04-16,Standard Class,CUST-8341,Timothy Jones,Consumer,Central,Furniture,Chairs
CA-176710,2024-08-28,2025-04-18,Standard Class,CUST-3715,Laura Cox,Consumer,South,Technology,Copiers
CA-319954,2024-08-29,2025-04-20,Second Class,CUST-8961,Samantha Wolf,Home Office,West,Technology,Computers
CA-837877,2025-03-03,2025-04-27,Same Day,CUST-8525,Samantha Roberts,Home Office,South,Technology,Phones
CA-949050,2023-10-01,2025-04-16,Standard Class,CUST-4027,Alexander Boone,Corporate,East,Furniture,Bookcases
CA-715251,2023-10-10,2025-04-16,First Class,CUST-8620,Donna Myers,Home Office,East,Furniture,Chairs
CA-664926,2024-01-04,2025-04-29,First Class,CUST-9630,Jose Lynch,Corporate,East,Technology,Phones
CA-709929,2023-04-20,2025-04-15,First Class,CUST-5661,Nicole Morris,Home Office,South,Office Supplies,Binders
